Training Loss,Validation Loss
0.47567999362945557,0.5689
0.6195999979972839,0.6298
0.6692399978637695,0.68
0.6943999528884888,0.7322
0.7119399905204773,0.7239
0.7195199728012085,0.6947
0.7263399958610535,0.7802
0.7308399677276611,0.7371
0.7333199977874756,0.7683
0.7410799860954285,0.7698
0.7430799603462219,0.7959
0.7446399927139282,0.7759
0.7485399842262268,0.7623
0.7491999864578247,0.7564
0.7506200075149536,0.7826
0.7536399960517883,0.7058
0.7519599795341492,0.7953
0.7548999786376953,0.7967
0.7557599544525146,0.7451
0.7562199831008911,0.7655
0.7580199837684631,0.7883
0.7582399845123291,0.7854
0.7592399716377258,0.8026
0.7610200047492981,0.7739
0.7582799792289734,0.7939
0.7592999935150146,0.7817
0.7623599767684937,0.789
0.7627999782562256,0.7584
0.7588599920272827,0.81
0.8028799891471863,0.8479
0.8185199499130249,0.8576
0.8185999989509583,0.8547
0.8218399882316589,0.8608
0.8232399821281433,0.8613
0.8240199685096741,0.8624
0.8248800039291382,0.8641
0.824679970741272,0.8589
0.8264999985694885,0.8617
0.8270999789237976,0.8619
0.8246399760246277,0.8601
0.827739953994751,0.859
0.8260200023651123,0.864
0.8281799554824829,0.8616
0.8255400061607361,0.8646
0.8272599577903748,0.8627
0.8280199766159058,0.8588
0.8299199938774109,0.862
0.8268599510192871,0.8453
0.8287999629974365,0.8605
0.8295999765396118,0.8603
0.8277999758720398,0.8606
0.8283399939537048,0.8526
0.8289600014686584,0.8584
0.8288599848747253,0.8634
0.8280199766159058,0.8668
0.827459990978241,0.8559
0.8301199674606323,0.8617
0.8280799984931946,0.8563
0.8302599787712097,0.8452
0.8411999940872192,0.8733
0.8463999629020691,0.8768
0.8486199975013733,0.8786
0.8485400080680847,0.8781
0.8488799929618835,0.8746
0.8502399921417236,0.8763
0.8481400012969971,0.8785
0.8515999913215637,0.8762
0.8502399921417236,0.8769
0.8489999771118164,0.8795
0.8509799838066101,0.8805
0.850820004940033,0.8766
0.8495199680328369,0.8775
0.8525399565696716,0.8793
0.8504799604415894,0.8806
0.8494399785995483,0.8767
0.8506999611854553,0.8774
0.8529999852180481,0.8775
0.8514800071716309,0.8764
0.8506399989128113,0.879
0.8523799777030945,0.8776
0.8524399995803833,0.8748
0.8497399687767029,0.8785
0.852180004119873,0.8763
0.850380003452301,0.8799
0.8525999784469604,0.8768
0.8527399897575378,0.8744
0.852400004863739,0.8772
0.8515399694442749,0.8757
0.8531799912452698,0.8762
0.8514599800109863,0.8802
