Training Loss,Validation Loss
0.4470999836921692,0.5267
0.6193400025367737,0.5987
0.6818000078201294,0.683
0.7209999561309814,0.6915
0.7436599731445312,0.697
0.7595399618148804,0.6916
0.7673799991607666,0.7401
0.7766599655151367,0.7165
0.7823399901390076,0.78
0.7857999801635742,0.7551
0.7905199527740479,0.7822
0.7919999957084656,0.779
0.7950399518013,0.7896
0.7987200021743774,0.7611
0.8023799657821655,0.7779
0.803059995174408,0.7175
0.8044399619102478,0.7444
0.806659996509552,0.672
0.8063799738883972,0.7665
0.8095999956130981,0.754
0.8092399835586548,0.7287
0.8089999556541443,0.7627
0.810539960861206,0.7542
0.8116199970245361,0.7911
0.810539960861206,0.7813
0.8111199736595154,0.7943
0.8134999871253967,0.7733
0.8144800066947937,0.7247
0.8152399659156799,0.7413
0.8589199781417847,0.8578
0.8710799813270569,0.8602
0.8750999569892883,0.8609
0.8794399499893188,0.8666
0.8791399598121643,0.8624
0.8818199634552002,0.8684
0.8844199776649475,0.8641
0.8847999572753906,0.8689
0.8870199918746948,0.8629
0.8868399858474731,0.8659
0.8872199654579163,0.8668
0.8890399932861328,0.8688
0.8885200023651123,0.8636
0.8886599540710449,0.8666
0.8898999691009521,0.8714
0.8891399502754211,0.8702
0.8915999531745911,0.8628
0.8910199999809265,0.8659
0.8906999826431274,0.8653
0.8911399841308594,0.863
0.8924999833106995,0.8685
0.8920599818229675,0.8652
0.8914999961853027,0.8506
0.8923799991607666,0.8624
0.8922399878501892,0.8648
0.8923400044441223,0.8652
0.890779972076416,0.8641
0.8925999999046326,0.8585
0.8915799856185913,0.8552
0.8913599848747253,0.8518
0.9068399667739868,0.8817
0.9147999882698059,0.8834
0.9125799536705017,0.8842
0.9124199748039246,0.8848
0.9156599640846252,0.8863
0.9164800047874451,0.8855
0.9156399965286255,0.8838
0.9163999557495117,0.886
0.9161999821662903,0.8854
0.9170199632644653,0.8873
0.9171800017356873,0.8859
0.91593998670578,0.8871
0.9185999631881714,0.8886
0.9200999736785889,0.8861
0.9175599813461304,0.8885
0.918239951133728,0.8875
0.9187600016593933,0.8855
0.9196999669075012,0.8871
0.9188799858093262,0.8878
0.9174999594688416,0.8871
0.9191199541091919,0.8868
0.9204999804496765,0.8882
0.9186999797821045,0.8887
0.9210999608039856,0.8888
0.9200199842453003,0.8848
0.9211199879646301,0.8862
0.9217199683189392,0.8883
0.9204999804496765,0.8873
0.9221999645233154,0.8855
0.9207800030708313,0.8898
0.9211199879646301,0.8892
