Training Loss,Validation Loss
0.4814999997615814,0.5776
0.651479959487915,0.674
0.7042799592018127,0.6028
0.7333599925041199,0.6886
0.7516399621963501,0.7203
0.7644999623298645,0.7518
0.7696999907493591,0.6945
0.7787999510765076,0.6837
0.7825599908828735,0.7263
0.8235799670219421,0.8313
0.8347599506378174,0.8314
0.8408399820327759,0.8379
0.8444199562072754,0.8409
0.8461799621582031,0.8373
0.8486799597740173,0.8358
0.8521599769592285,0.8413
0.8537799715995789,0.842
0.854420006275177,0.8388
0.8538199663162231,0.8446
0.8645199537277222,0.8541
0.8662999868392944,0.8558
0.8699199557304382,0.8546
0.8686800003051758,0.8559
0.8687399625778198,0.8555
0.8689799904823303,0.8557
0.8722599744796753,0.8535
0.8690599799156189,0.8553
0.8708999752998352,0.8548
0.8704800009727478,0.8562
0.8714599609375,0.8557
