Training Loss,Validation Loss
0.24201999604701996,0.434
0.3392599821090698,0.4613
0.39989998936653137,0.5808
0.46893998980522156,0.6073
0.47985997796058655,0.6436
0.5040199756622314,0.6466
0.5212199687957764,0.65
0.5328400135040283,0.6014
0.5559200048446655,0.7316
0.5546199679374695,0.7389
0.5686599612236023,0.7602
0.5631200075149536,0.7732
0.5679000020027161,0.7779
0.5884199738502502,0.7736
0.60725998878479,0.8163
0.6112799644470215,0.7787
0.6235799789428711,0.7808
0.5959999561309814,0.789
0.619219958782196,0.8094
0.635919988155365,0.8194
0.6205999851226807,0.8468
0.6464799642562866,0.8132
0.6406199932098389,0.8091
0.6394400000572205,0.8216
0.6483199596405029,0.8387
0.6426399946212769,0.8013
0.6453399658203125,0.8043
0.6237800121307373,0.8434
0.6428399682044983,0.8429
0.6785399913787842,0.9122
0.7044599652290344,0.9156
0.7177199721336365,0.9206
0.723360002040863,0.9189
0.737559974193573,0.9243
0.7247599959373474,0.9251
0.734499990940094,0.9215
0.7423799633979797,0.9277
0.7466999888420105,0.9251
0.7190999984741211,0.9273
0.7479999661445618,0.9288
0.7540799975395203,0.9281
0.7253999710083008,0.9269
0.7494199872016907,0.9265
0.7336999773979187,0.9298
0.7408199906349182,0.9289
0.7478599548339844,0.9317
0.7315799593925476,0.9324
0.7451399564743042,0.9242
0.7065399885177612,0.9304
0.7345799803733826,0.9308
0.7518399953842163,0.9285
0.7647199630737305,0.9341
0.739039957523346,0.9377
0.7387199997901917,0.9257
0.7668600082397461,0.9288
0.7361800074577332,0.9286
0.7442599534988403,0.9269
0.7378000020980835,0.9292
0.7449600100517273,0.9277
0.7606399655342102,0.944
0.7714399695396423,0.9459
0.7986800074577332,0.9474
0.7810999751091003,0.9474
0.7829799652099609,0.9488
0.7831400036811829,0.9499
0.7798799872398376,0.9495
0.765720009803772,0.9483
0.790399968624115,0.9511
0.7930199503898621,0.9509
0.7792800068855286,0.9502
0.7707399725914001,0.9525
0.769819974899292,0.951
0.8081600069999695,0.9516
0.7939800024032593,0.9517
0.8022800087928772,0.9521
0.7726399898529053,0.9531
0.7969399690628052,0.9525
0.7820999622344971,0.9516
0.7924799919128418,0.9508
0.7904399633407593,0.9529
0.80131995677948,0.95
0.7955399751663208,0.9499
0.796019971370697,0.9507
0.8149799704551697,0.9515
0.7815600037574768,0.9519
0.7706199884414673,0.9512
0.7863199710845947,0.9527
0.7898399829864502,0.9532
0.7945799827575684,0.9505
0.7960799932479858,0.9517
