Training Loss,Validation Loss
0.48179998993873596,0.5822
0.6571599841117859,0.6365
0.7084000110626221,0.6312
0.7368800044059753,0.6296
0.7513200044631958,0.692
0.7656999826431274,0.75
0.7721399664878845,0.6876
0.7794399857521057,0.675
0.7840799689292908,0.7191
0.8232799768447876,0.8323
0.8360199928283691,0.835
0.8421599864959717,0.8417
0.845259964466095,0.8454
0.8462599515914917,0.8451
0.8513999581336975,0.8389
0.8533799648284912,0.843
0.8554199934005737,0.8469
0.8559799790382385,0.8489
0.8567399978637695,0.8436
0.867419958114624,0.8589
0.8681599497795105,0.8586
0.8727799654006958,0.8577
0.8709999918937683,0.8599
0.8713199496269226,0.8596
0.8718199729919434,0.8597
0.871239960193634,0.8588
0.8704800009727478,0.8599
0.8726799488067627,0.8596
0.8739399909973145,0.8612
0.8747599720954895,0.8592
