Training Loss,Validation Loss
0.4467400014400482,0.5622
0.6186000108718872,0.6263
0.6863999962806702,0.703
0.7225799560546875,0.707
0.7474600076675415,0.6953
0.760699987411499,0.7198
0.7689999938011169,0.7145
0.7744799852371216,0.7276
0.7821799516677856,0.7079
0.7875799536705017,0.7215
0.791439950466156,0.7553
0.7965399622917175,0.7629
0.7971599698066711,0.7565
0.802079975605011,0.7781
0.8019799590110779,0.7045
0.8036199808120728,0.7371
0.8022399544715881,0.768
0.807159960269928,0.782
0.8085599541664124,0.7912
0.8083800077438354,0.7365
0.8090399503707886,0.805
0.8089199662208557,0.7763
0.8142799735069275,0.7751
0.8131399750709534,0.8014
0.8110199570655823,0.803
0.8139199614524841,0.7599
0.8143599629402161,0.7571
0.8174999952316284,0.7411
0.8130199909210205,0.7834
0.8592599630355835,0.8597
0.8704999685287476,0.8606
0.8759799599647522,0.868
0.8784799575805664,0.8652
0.8796799778938293,0.869
0.8817799687385559,0.8666
0.8835600018501282,0.8647
0.8860599994659424,0.8669
0.8867999911308289,0.8697
0.8857799768447876,0.8697
0.886419951915741,0.8599
0.8880999684333801,0.8713
0.8895799517631531,0.8688
0.8887799978256226,0.8693
0.8905999660491943,0.8697
0.8916999697685242,0.8676
0.8904999494552612,0.8638
0.8908599615097046,0.8661
0.8905999660491943,0.8628
0.8901799917221069,0.8659
0.8910799622535706,0.8687
0.8904399871826172,0.8655
0.8926599621772766,0.8608
0.8928399682044983,0.8628
0.8919199705123901,0.862
0.889739990234375,0.8727
0.8900399804115295,0.8574
0.8943600058555603,0.8653
0.8906399607658386,0.8625
0.8920999765396118,0.8567
0.9072999954223633,0.8806
0.9119600057601929,0.883
0.9126600027084351,0.8844
0.9146199822425842,0.8838
0.91621994972229,0.8847
0.9145799875259399,0.8851
0.9153800010681152,0.8833
0.9153199791908264,0.8838
0.9155399799346924,0.8845
0.9160199761390686,0.8852
0.9169600009918213,0.8861
0.915619969367981,0.8847
0.9176999926567078,0.8853
0.9186599850654602,0.8846
0.9155799746513367,0.8851
0.9179399609565735,0.8861
0.9161799550056458,0.8845
0.9185000061988831,0.8845
0.9186199903488159,0.8858
0.91839998960495,0.886
0.9203999638557434,0.8856
0.9196799993515015,0.8859
0.9179999828338623,0.8859
0.9217399954795837,0.8858
0.9200399518013,0.8855
0.9188199639320374,0.8853
0.9220799803733826,0.8853
0.9200399518013,0.8846
0.92249995470047,0.8852
0.9205199480056763,0.8879
0.9198199510574341,0.8846
