Training Loss,Validation Loss
0.4844200015068054,0.4873
0.6518399715423584,0.6401
0.7074999809265137,0.7133
0.7340599894523621,0.7062
0.7526800036430359,0.7042
0.763979971408844,0.7276
0.7728999853134155,0.7691
0.7784799933433533,0.7084
0.7837799787521362,0.7233
0.7892000079154968,0.763
0.7931999564170837,0.7384
0.7958399653434753,0.7709
0.7970399856567383,0.7267
0.800599992275238,0.7781
0.8005200028419495,0.7917
0.8058399558067322,0.7042
0.8042599558830261,0.7542
0.8086999654769897,0.7171
0.8065599799156189,0.7648
0.8123999834060669,0.7865
0.806659996509552,0.723
0.8090999722480774,0.7661
0.8104000091552734,0.7545
0.8118199706077576,0.7736
0.8094399571418762,0.7575
0.8135199546813965,0.7678
0.8116199970245361,0.7529
0.8162399530410767,0.7579
0.8158599734306335,0.7545
0.8545399904251099,0.853
0.8665399551391602,0.8589
0.8717399835586548,0.8608
0.8740400075912476,0.8617
0.8759999871253967,0.8623
0.8792199492454529,0.8602
0.8803399801254272,0.8609
0.8801800012588501,0.8663
0.8831999897956848,0.8648
0.8813199996948242,0.862
0.8813799619674683,0.8635
0.8822799921035767,0.87
0.8842399716377258,0.8645
0.8834999799728394,0.8623
0.8856399655342102,0.8635
0.8848999738693237,0.8618
0.8848599791526794,0.8617
0.8873399496078491,0.8571
0.8863199949264526,0.8575
0.8865000009536743,0.8673
0.8863999843597412,0.8668
0.8870399594306946,0.8657
0.8852999806404114,0.8598
0.8880599737167358,0.8551
0.886419951915741,0.8645
0.884880006313324,0.8644
0.8852599859237671,0.858
0.8881999850273132,0.8649
0.8877399563789368,0.8664
0.8878200054168701,0.8602
0.8992799520492554,0.8756
0.9058799743652344,0.8771
0.9072799682617188,0.8755
0.9075799584388733,0.8777
0.9093999862670898,0.8782
0.9108799695968628,0.8798
0.9101600050926208,0.8784
0.9095199704170227,0.8769
0.9090799689292908,0.8787
0.9109999537467957,0.8801
0.9111199975013733,0.8785
0.9093599915504456,0.8801
0.9103399515151978,0.8799
0.9128599762916565,0.8798
0.9094799757003784,0.8786
0.9114199876785278,0.8804
0.9097399711608887,0.88
0.910860002040863,0.8778
0.9115999937057495,0.8808
0.9112199544906616,0.8822
0.9127199649810791,0.8807
0.9115200042724609,0.88
0.9110999703407288,0.8808
0.9144600033760071,0.8817
0.9125399589538574,0.8798
0.913159966468811,0.8803
0.9136799573898315,0.881
0.9127799868583679,0.8794
0.9130199551582336,0.8799
0.9127199649810791,0.8802
0.9134999513626099,0.8815
