Training Loss,Validation Loss
0.340939998626709,0.4662
0.5223999619483948,0.5612
0.6285200119018555,0.6345
0.6869800090789795,0.6665
0.7342399954795837,0.6919
0.76173996925354,0.7237
0.7787999510765076,0.7776
0.7944999933242798,0.7483
0.8007599711418152,0.7804
0.8067799806594849,0.7741
0.8169199824333191,0.7791
0.8203999996185303,0.7853
0.8240199685096741,0.7775
0.8253399729728699,0.759
0.8295999765396118,0.8067
0.8318799734115601,0.7691
0.8339999914169312,0.7977
0.8377599716186523,0.7967
0.8385399580001831,0.7769
0.8399800062179565,0.7986
0.8417999744415283,0.7661
0.8443599939346313,0.8333
0.8434399962425232,0.7362
0.8456999659538269,0.8185
0.8468199968338013,0.8181
0.8480799794197083,0.8111
0.8492599725723267,0.792
0.8483799695968628,0.8292
0.8479799628257751,0.803
0.850659966468811,0.7781
0.8519999980926514,0.7921
0.8521599769592285,0.8191
0.8526399731636047,0.7942
0.8524999618530273,0.8108
0.854159951210022,0.8275
0.8536799550056458,0.8246
0.8529799580574036,0.834
0.8549399971961975,0.8307
0.8551799654960632,0.8205
0.853879988193512,0.7951
0.8555399775505066,0.8071
0.8558200001716614,0.7924
0.8540799617767334,0.8184
0.8588999509811401,0.8046
0.8568399548530579,0.6697
0.8590399622917175,0.7977
0.8590599894523621,0.7852
0.8567999601364136,0.8451
0.8583199977874756,0.8056
0.8582800030708313,0.7986
0.8578400015830994,0.8273
0.8618599772453308,0.8439
0.8612599968910217,0.8151
0.8591399788856506,0.807
0.8593999743461609,0.781
0.8606999516487122,0.8229
0.8600999712944031,0.8015
0.8606999516487122,0.828
0.8621999621391296,0.8125
0.8611199855804443,0.8129
0.8613399863243103,0.8179
0.8592000007629395,0.8377
0.8621599674224854,0.806
0.8603599667549133,0.838
0.8632400035858154,0.7649
0.8620799779891968,0.8259
0.9097399711608887,0.9004
0.9245599508285522,0.9042
0.9293199777603149,0.906
0.9337799549102783,0.9094
0.9358999729156494,0.9088
0.9381799697875977,0.9104
0.940779983997345,0.9077
0.9419399499893188,0.9107
0.9448399543762207,0.9094
0.9455399513244629,0.9113
0.9472599625587463,0.9145
0.9473999738693237,0.9086
0.9471399784088135,0.9076
0.9474799633026123,0.9142
0.9494400024414062,0.9052
0.9497399926185608,0.909
0.9485999941825867,0.9065
0.9503600001335144,0.9084
0.9498599767684937,0.9079
0.9501799941062927,0.9074
0.9512999653816223,0.9019
0.9495799541473389,0.903
0.9513199925422668,0.9052
0.9481799602508545,0.9004
0.9511999487876892,0.9041
0.9512999653816223,0.9037
0.9508599638938904,0.8983
0.9496999979019165,0.8974
0.9488799571990967,0.9021
0.9495799541473389,0.9015
0.9525399804115295,0.9
0.9491199851036072,0.8994
0.9511999487876892,0.902
0.9509599804878235,0.9034
0.9497799873352051,0.8967
0.9514999985694885,0.9031
0.9510799646377563,0.9051
0.9507799744606018,0.9022
0.9507799744606018,0.8989
0.949459969997406,0.8951
0.950719952583313,0.8969
0.9496199488639832,0.8998
0.9509599804878235,0.9055
0.9510399699211121,0.8947
0.9505399465560913,0.8994
0.9529799818992615,0.9005
0.9500599503517151,0.9055
0.9510399699211121,0.8984
0.9515999555587769,0.8905
0.9509199857711792,0.8939
0.9497799873352051,0.8915
0.952239990234375,0.8998
0.9488999843597412,0.8995
0.9505399465560913,0.9034
0.952019989490509,0.9
0.9520399570465088,0.9022
0.9519000053405762,0.8952
0.9512199759483337,0.8993
0.9505399465560913,0.9002
0.9513199925422668,0.9027
0.9534599781036377,0.8969
0.9522199630737305,0.896
0.953499972820282,0.8983
0.9515399932861328,0.8986
0.9524999856948853,0.8897
0.9538399577140808,0.8935
0.9712599515914917,0.9195
0.9788999557495117,0.923
0.9809799790382385,0.9239
0.9815799593925476,0.9251
0.9835399985313416,0.9254
0.9843799471855164,0.9242
0.9852799773216248,0.9234
0.9864599704742432,0.9249
0.9856799840927124,0.9241
0.9868399500846863,0.923
0.9871199727058411,0.9227
0.9878199696540833,0.9245
0.9879399538040161,0.9247
0.9888999462127686,0.9246
0.9892799854278564,0.9239
0.9887999892234802,0.9221
0.9893999695777893,0.9242
0.9906599521636963,0.9241
0.9901799559593201,0.9232
0.9902199506759644,0.9249
0.9898999929428101,0.9241
0.9906599521636963,0.9245
0.9904199838638306,0.9241
0.9916599988937378,0.9239
0.9909799695014954,0.9244
0.9905999898910522,0.925
0.9914199709892273,0.9243
0.9920599460601807,0.9236
0.9918999671936035,0.9242
0.992139995098114,0.9246
0.991919994354248,0.9248
0.9923999905586243,0.9248
0.9921599626541138,0.9253
0.9921599626541138,0.9239
0.992139995098114,0.9234
0.992419958114624,0.926
0.9924799799919128,0.925
0.9929599761962891,0.9238
0.992859959602356,0.924
0.9934199452400208,0.9238
0.9930599927902222,0.925
0.9933399558067322,0.9225
0.9937399625778198,0.9224
0.993619978427887,0.9256
0.9937599897384644,0.9232
0.9928399920463562,0.9237
0.9939799904823303,0.9237
0.9938799738883972,0.9218
0.9934399724006653,0.9219
0.9937399625778198,0.9209
0.9934199452400208,0.923
0.9936999678611755,0.9237
0.9941999912261963,0.9216
0.9942799806594849,0.9232
0.9942599534988403,0.9217
0.9944599866867065,0.923
0.9943599700927734,0.9243
0.994159996509552,0.9235
0.9942799806594849,0.9231
0.9944599866867065,0.9227
0.9948199987411499,0.9239
0.9943999648094177,0.9233
0.9945799708366394,0.9224
0.9947599768638611,0.9242
0.9952999949455261,0.9244
0.9952199459075928,0.9228
0.9947999715805054,0.923
0.9946799874305725,0.9226
