Training Loss,Validation Loss
0.44655999541282654,0.5396
0.6164799928665161,0.5958
0.6782199740409851,0.6938
0.710919976234436,0.7073
0.7342599630355835,0.7323
0.7452799677848816,0.6205
0.753279983997345,0.738
0.7608000040054321,0.7496
0.7693600058555603,0.7251
0.7717999815940857,0.772
0.7778199911117554,0.7547
0.7786999940872192,0.7737
0.7788800001144409,0.735
0.7836399674415588,0.771
0.7853999733924866,0.7776
0.7878199815750122,0.6997
0.7879599928855896,0.7786
0.7936199903488159,0.7878
0.7930600047111511,0.7591
0.7923799753189087,0.7594
0.7948199510574341,0.7709
0.7958599925041199,0.8006
0.7967000007629395,0.7695
0.7977799773216248,0.7648
0.795259952545166,0.8024
0.7973600029945374,0.7274
0.7985000014305115,0.8017
0.7984799742698669,0.7721
0.8022199869155884,0.7692
0.843999981880188,0.8531
0.8559799790382385,0.8571
0.8611999750137329,0.8557
0.8628999590873718,0.8618
0.8628000020980835,0.8565
0.8663399815559387,0.8622
0.8682399988174438,0.8622
0.8698199987411499,0.8642
0.8722999691963196,0.8577
0.8710399866104126,0.8604
0.8718599677085876,0.867
0.8707000017166138,0.8632
0.8726199865341187,0.8535
0.8718199729919434,0.8557
0.8729400038719177,0.8664
0.8725999593734741,0.8621
0.8713600039482117,0.8618
0.872979998588562,0.861
0.8738999962806702,0.8618
0.8738200068473816,0.8575
0.8732799887657166,0.8544
0.8714799880981445,0.8619
0.8752599954605103,0.8653
0.8717399835586548,0.8495
0.875,0.8552
0.8740400075912476,0.8649
0.8755999803543091,0.86
0.874459981918335,0.8556
0.8722400069236755,0.8658
0.8746799826622009,0.8459
0.8860999941825867,0.881
0.8936799764633179,0.8802
0.8935199975967407,0.8804
0.895359992980957,0.8806
0.8965199589729309,0.8823
0.8965399861335754,0.8795
0.896079957485199,0.88
0.8971999883651733,0.88
0.8985399603843689,0.8811
0.8969799876213074,0.8807
0.8969799876213074,0.88
0.8970999717712402,0.8828
0.8974999785423279,0.8788
0.8976799845695496,0.8808
0.8968600034713745,0.8818
0.8982999920845032,0.8836
0.8986999988555908,0.883
0.8998599648475647,0.8819
0.8977599740028381,0.882
0.8997199535369873,0.8827
0.8992399573326111,0.8811
0.8998599648475647,0.8828
0.897879958152771,0.8836
0.8987599611282349,0.8819
0.8993399739265442,0.8806
0.899619996547699,0.8798
0.8996999859809875,0.8791
0.8999799489974976,0.8814
0.8999599814414978,0.8784
0.8988199830055237,0.8825
0.8988199830055237,0.8852
