Training Loss,Validation Loss
0.4480399787425995,0.4792
0.625,0.6501
0.6902599930763245,0.6964
0.7218599915504456,0.6914
0.7470799684524536,0.7334
0.757860004901886,0.7125
0.7699999809265137,0.7486
0.7751399874687195,0.7074
0.782480001449585,0.7207
0.7868799567222595,0.7017
0.7910799980163574,0.7357
0.7951799631118774,0.7718
0.7963999509811401,0.6878
0.7964800000190735,0.7755
0.7985999584197998,0.7634
0.8046999573707581,0.7661
0.8023399710655212,0.7574
0.8062599897384644,0.7532
0.8064799904823303,0.771
0.8101399540901184,0.7397
0.8113799691200256,0.7538
0.8110399842262268,0.7518
0.8116199970245361,0.7677
0.8120200037956238,0.7705
0.8119199872016907,0.7781
0.8130999803543091,0.7942
0.8150999546051025,0.7875
0.8161199688911438,0.7777
0.8144399523735046,0.7938
0.8581199645996094,0.8573
0.8705399632453918,0.863
0.8776199817657471,0.8616
0.8768799901008606,0.8629
0.8809199929237366,0.8649
0.8837599754333496,0.8683
0.8834999799728394,0.8652
0.886680006980896,0.8658
0.887779951095581,0.8678
0.8878799676895142,0.8649
0.8873800039291382,0.8648
0.8901000022888184,0.8674
0.8888799548149109,0.8642
0.8899199962615967,0.867
0.8906599879264832,0.8683
0.8912000060081482,0.8654
0.8930599689483643,0.8654
0.8916399478912354,0.8564
0.8909399509429932,0.8642
0.8927399516105652,0.8605
0.8932999968528748,0.8523
0.8932199478149414,0.8649
0.8915999531745911,0.859
0.8950999975204468,0.8669
0.8924199938774109,0.8582
0.8926799893379211,0.8675
0.891979992389679,0.8597
0.8935199975967407,0.8666
0.8931599855422974,0.8535
0.8933999538421631,0.8497
0.9083799719810486,0.8843
0.9142799973487854,0.8852
0.9126399755477905,0.8853
0.9157199859619141,0.8862
0.9164199829101562,0.8836
0.9174000024795532,0.8865
0.916700005531311,0.8846
0.9172399640083313,0.8826
0.9167799949645996,0.8855
0.9181999564170837,0.8859
0.9173599481582642,0.8854
0.9168199896812439,0.8857
0.9181599617004395,0.8865
0.9204999804496765,0.8844
0.9181999564170837,0.8873
0.9185000061988831,0.8848
0.9176200032234192,0.8855
0.9199000000953674,0.8847
0.9191799759864807,0.8841
0.9179799556732178,0.885
0.9203400015830994,0.8846
0.9194999933242798,0.8845
0.919979989528656,0.8849
0.9218399524688721,0.8854
0.9203400015830994,0.8849
0.9202799797058105,0.8853
0.9213399887084961,0.8858
0.922819972038269,0.8872
0.9198600053787231,0.8863
0.9225999712944031,0.8836
0.9207399487495422,0.888
