Training Loss,Validation Loss
0.44481998682022095,0.6083
0.609279990196228,0.6972
0.6707800030708313,0.732
0.7011599540710449,0.7379
0.7189399600028992,0.7395
0.7288999557495117,0.7596
0.7364599704742432,0.7767
0.7444799542427063,0.7836
0.7452600002288818,0.8
0.7499399781227112,0.8044
0.7497999668121338,0.7979
0.7500799894332886,0.7391
0.7531200051307678,0.8239
0.755079984664917,0.813
0.7584199905395508,0.7913
0.7585200071334839,0.8123
0.7611199617385864,0.7972
0.7608999609947205,0.8319
0.7633199691772461,0.8158
0.7641599774360657,0.8101
0.7634199857711792,0.7845
0.7617200016975403,0.827
0.766219973564148,0.8321
0.7664600014686584,0.8088
0.7640799880027771,0.8138
0.7663799524307251,0.8174
0.7658799886703491,0.8393
0.7672199606895447,0.8138
0.7699999809265137,0.8229
0.8029399514198303,0.8757
0.8087199926376343,0.8751
0.8132599592208862,0.8781
0.8148199915885925,0.8815
0.8136399984359741,0.8801
0.8159999847412109,0.8815
0.8168799877166748,0.8816
0.8186599612236023,0.8852
0.8180999755859375,0.8867
0.8169999718666077,0.8826
0.8169599771499634,0.8773
0.8202399611473083,0.8875
0.8186399936676025,0.8799
0.8166199922561646,0.8862
0.8192799687385559,0.8835
0.8188199996948242,0.8831
0.8201199769973755,0.8819
0.8178600072860718,0.8811
0.8204999566078186,0.8796
0.8205399513244629,0.8853
0.820360004901886,0.8763
0.8156399726867676,0.881
0.818619966506958,0.8842
0.8192399740219116,0.8866
0.8187800049781799,0.8865
0.8220599889755249,0.8837
0.8224799633026123,0.8831
0.8210999965667725,0.8857
0.8183599710464478,0.8815
0.8185399770736694,0.88
0.8280400037765503,0.8909
0.8307399749755859,0.8919
0.8321999907493591,0.8941
0.8311399817466736,0.8918
0.831339955329895,0.8942
0.8321599960327148,0.8942
0.8344799876213074,0.8938
0.8339999914169312,0.8936
0.8348000049591064,0.8943
0.8322799801826477,0.893
0.8344399929046631,0.8944
0.8325999975204468,0.8939
0.8337999582290649,0.8936
0.8363800048828125,0.8925
0.8338399529457092,0.8941
0.8336399793624878,0.8959
0.8354399800300598,0.8953
0.8335199952125549,0.8943
0.8318799734115601,0.8965
0.8334400057792664,0.8949
0.8356399536132812,0.8928
0.8346199989318848,0.895
0.8366199731826782,0.8941
0.835159957408905,0.8948
0.8350600004196167,0.896
0.8359000086784363,0.8948
0.8363199830055237,0.8959
0.8339200019836426,0.8961
0.834879994392395,0.8944
0.833359956741333,0.8963
0.8338199853897095,0.897
