Training Loss,Validation Loss
0.44339999556541443,0.5512
0.6126799583435059,0.5853
0.6757000088691711,0.6844
0.7134000062942505,0.6921
0.736519992351532,0.6881
0.7561399936676025,0.7149
0.7644999623298645,0.7253
0.7731999754905701,0.7197
0.7801199555397034,0.7194
0.7852399945259094,0.7716
0.7900799512863159,0.7677
0.7910000085830688,0.7124
0.7962599992752075,0.7766
0.8000999689102173,0.7678
0.8023399710655212,0.7952
0.8022199869155884,0.76
0.8043599724769592,0.7294
0.8034200072288513,0.7699
0.8073599934577942,0.727
0.8120599985122681,0.7591
0.8071399927139282,0.7589
0.8108999729156494,0.7726
0.8110799789428711,0.7576
0.8114999532699585,0.7867
0.8122599720954895,0.7805
0.8118199706077576,0.803
0.8144999742507935,0.767
0.8158199787139893,0.768
0.8139199614524841,0.799
0.8167200088500977,0.7469
0.8170999884605408,0.7493
0.8178199529647827,0.7993
0.8162800073623657,0.7575
0.8178799748420715,0.7715
0.8174999952316284,0.7587
0.8184599876403809,0.7098
0.8175599575042725,0.7625
0.8202399611473083,0.767
0.8185199499130249,0.7883
0.8201599717140198,0.7679
0.8208400011062622,0.7614
0.8193399906158447,0.7715
0.8182399868965149,0.7461
0.8200399875640869,0.7453
0.8194199800491333,0.7921
0.8215199708938599,0.7756
0.8211999535560608,0.7385
0.8226199746131897,0.726
0.8239399790763855,0.7892
0.8232199549674988,0.7425
0.8202799558639526,0.7666
0.8225799798965454,0.785
0.8235799670219421,0.7653
0.8228799700737,0.7982
0.8228600025177002,0.7888
0.8211999535560608,0.777
0.8242200016975403,0.7407
0.8241199851036072,0.8011
0.8228200078010559,0.7804
0.8254799842834473,0.7772
0.8228399753570557,0.8034
0.8267999887466431,0.7723
0.8221799731254578,0.7864
0.8246600031852722,0.7811
0.8249399662017822,0.7939
0.8248800039291382,0.8088
0.8695600032806396,0.8702
0.8813999891281128,0.8695
0.8851000070571899,0.8711
0.8883000016212463,0.8729
0.889519989490509,0.8772
0.8932399749755859,0.8736
0.893839955329895,0.8773
0.8944599628448486,0.8771
0.8955399990081787,0.8729
0.8948599696159363,0.876
0.8976999521255493,0.8736
0.8973399996757507,0.8774
0.8968999981880188,0.876
0.8980799913406372,0.8829
0.8995599746704102,0.8796
0.8984599709510803,0.8804
0.8993600010871887,0.8783
0.8987599611282349,0.8775
0.8997199535369873,0.8748
0.9017599821090698,0.8631
0.8995800018310547,0.8807
0.8992599844932556,0.8702
0.8999799489974976,0.8695
0.8990599513053894,0.8702
0.9003799557685852,0.8705
0.9006199836730957,0.8754
0.899399995803833,0.8712
0.8987799882888794,0.8691
0.9027400016784668,0.8728
0.9015399813652039,0.8622
0.8986799716949463,0.8627
0.8975399732589722,0.8678
0.9008599519729614,0.8685
0.8994799852371216,0.8712
0.8989599943161011,0.8732
0.8995999693870544,0.8673
0.9010399580001831,0.8763
0.9003199934959412,0.8718
0.9012999534606934,0.8681
0.9014999866485596,0.8685
0.8993200063705444,0.861
0.9007999897003174,0.867
0.9011600017547607,0.8585
0.9004600048065186,0.8666
0.9000399708747864,0.8735
0.8995800018310547,0.8652
0.8991400003433228,0.8699
0.9003999829292297,0.8668
0.8991000056266785,0.8731
0.899679958820343,0.8617
0.9006999731063843,0.8639
0.9007999897003174,0.8465
0.9005399942398071,0.8588
0.8992599844932556,0.8685
0.9024999737739563,0.862
0.8996599912643433,0.8566
0.8997199535369873,0.8741
0.8998399972915649,0.8592
0.901419997215271,0.8597
0.9002799987792969,0.8746
0.9010799527168274,0.8685
0.9007200002670288,0.8629
0.9010999798774719,0.8576
0.9023000001907349,0.8622
0.9008199572563171,0.8594
0.9025999903678894,0.8707
0.9197999835014343,0.8897
0.9247999787330627,0.8918
0.9261599779129028,0.8931
0.9293199777603149,0.8943
0.9290399551391602,0.8913
0.9286999702453613,0.8936
0.9285599589347839,0.8932
0.9307000041007996,0.895
0.9305599927902222,0.8935
0.9302199482917786,0.8947
0.9309200048446655,0.8939
0.9329399466514587,0.8946
0.9322199821472168,0.895
0.9330399632453918,0.8958
0.9327799677848816,0.8961
0.932479977607727,0.8951
0.9334999918937683,0.8955
0.9334799647331238,0.895
0.9330999851226807,0.8962
0.9337199926376343,0.8955
0.935479998588562,0.8956
0.9334399700164795,0.893
0.9357399940490723,0.8947
0.9332599639892578,0.8941
0.933139979839325,0.895
0.9343000054359436,0.8945
0.9343799948692322,0.8989
0.9362999796867371,0.8947
0.9349799752235413,0.8957
0.9350599646568298,0.8948
0.9372599720954895,0.8935
0.9351599812507629,0.8965
0.9365599751472473,0.8956
0.9348599910736084,0.8933
0.9368399977684021,0.8955
0.9363999962806702,0.8957
0.9357799887657166,0.895
0.9360199570655823,0.8923
0.9362999796867371,0.8932
0.9370999932289124,0.895
0.9364799857139587,0.8939
0.9370799660682678,0.8945
0.9380599856376648,0.8935
0.9362999796867371,0.8926
0.9370599985122681,0.8962
0.9355799555778503,0.8954
0.9371799826622009,0.8947
0.9376199841499329,0.8957
0.9368199706077576,0.896
0.9367599487304688,0.8938
0.937720000743866,0.8942
0.9366999864578247,0.896
0.9372400045394897,0.8941
0.9378999471664429,0.8944
0.9381199479103088,0.8942
0.9366399645805359,0.8947
0.9373599886894226,0.8952
0.9380399584770203,0.8962
0.9388399720191956,0.894
0.9382999539375305,0.8933
0.9386199712753296,0.8953
0.9378599524497986,0.8947
0.9382799863815308,0.8936
0.9379400014877319,0.8969
0.9377599954605103,0.8959
0.938979983329773,0.8925
0.9375399947166443,0.8944
0.9396999478340149,0.8911
